nome,cpf,uf,idade,renda_estimada,ticket_credito,situacao,score_faixa,dias_para_vencimento,produtos_ativos,ultimo_produto_adquirido,status_atividade,canal_preferido
Andre Almeida,***.470.958-32,RS,22,5090,387.12,adimplente,Medio,146,4,Seguro,ativo,App
Renata Santos,***.545.421-89,SP,37,4660,188.97,adimplente,Medio,195,4,Cartao de credito,ativo,App
Marcio Correia,***.143.764-64,SP,68,2710,399.34,restrito,Baixo,0,3,Conta digital,ativo,App
Larissa Ferreira,***.343.863-49,AM,48,1690,594.75,restrito,Baixo,0,2,Cartao de debito,ativo,WhatsApp
Andre Pinto,***.939.859-19,SP,27,1200,1168.66,restrito,Baixo,0,4,Cartao de debito,ativo,WhatsApp
Mariana Correia,***.966.532-30,PA,40,3800,1548.37,adimplente,Medio,288,4,Investimento,ativo,WhatsApp
Lucas Costa,***.545.535-75,RJ,57,1200,344.70,adimplente,Alto,293,2,Seguro,ativo,App
Wesley Silva,***.536.798-48,MG,50,5200,450.21,restrito,Baixo,0,2,Seguro,ativo,WhatsApp
Claudia Monteiro,***.601.917-99,MA,29,6490,339.76,adimplente,Alto,23,1,Conta digital,ativo,Telefone
Thiago Correia,***.312.250-36,SP,27,3300,966.91,restrito,Medio,0,3,Seguro,ativo,WhatsApp
Bruno Araujo,***.506.344-60,SP,26,1380,390.54,adimplente,Baixo,34,2,Conta digital,ativo,WhatsApp
Camila Pinto,***.947.736-44,MG,58,4290,387.84,adimplente,Alto,176,1,Investimento,ativo,WhatsApp
Otavio Freitas,***.242.684-84,SP,40,3180,541.99,restrito,Baixo,0,3,Investimento,ativo,App
Otavio Moreira,***.137.505-78,PR,30,2000,324.75,adimplente,Medio,131,1,Seguro,ativo,Telefone
Rodrigo Martins,***.183.762-56,GO,25,3380,613.81,restrito,Medio,0,3,Emprestimo pessoal,ativo,WhatsApp
Jose Ferreira,***.127.547-54,PR,43,2000,229.22,adimplente,Alto,351,1,Conta digital,inativo,WhatsApp
Vinicius Barbosa,***.519.360-56,CE,37,8170,813.46,adimplente,Alto,27,1,Emprestimo pessoal,ativo,WhatsApp
Otavio Oliveira,***.862.340-24,PR,64,6130,344.32,adimplente,Alto,108,1,Financiamento,ativo,WhatsApp
Luiz Moreira,***.590.363-94,RJ,46,3580,446.41,restrito,Medio,0,3,Conta digital,inativo,WhatsApp
Fernanda Nascimento,***.859.236-63,SP,52,3800,654.75,adimplente,Medio,166,3,Emprestimo pessoal,ativo,Telefone
Lucas Barbosa,***.964.570-40,BA,35,3260,538.72,restrito,Medio,0,4,Cartao de credito,ativo,App
Vanessa Freitas,***.638.362-48,RS,41,4330,1698.96,adimplente,Medio,220,1,Investimento,ativo,App
Ana Almeida,***.307.410-80,RN,49,2440,1574.06,adimplente,Alto,145,2,Seguro,inativo,WhatsApp
Sergio Oliveira,***.929.960-38,PA,20,1200,301.69,adimplente,Alto,159,2,Investimento,ativo,WhatsApp
Eduardo Moreira,***.885.789-32,RJ,47,5030,779.93,restrito,Baixo,0,2,Financiamento,ativo,WhatsApp
Aline Rocha,***.139.867-80,DF,26,3320,513.02,restrito,Medio,0,4,Emprestimo pessoal,ativo,WhatsApp
Igor Correia,***.874.686-32,RJ,64,6740,856.14,adimplente,Alto,325,1,Financiamento,inativo,WhatsApp
Gabriel Santos,***.607.458-25,SC,45,4800,304.29,restrito,Baixo,0,2,Emprestimo pessoal,inativo,WhatsApp
Marcio Freitas,***.883.143-81,PE,42,8400,876.00,restrito,Baixo,0,1,Investimento,inativo,WhatsApp
Gabriel Rodrigues,***.574.648-54,RR,65,7560,426.21,adimplente,Medio,236,4,Investimento,ativo,Agencia
Patricia Silva,***.680.898-85,RR,47,6730,181.12,restrito,Baixo,0,1,Investimento,ativo,Telefone
Wesley Correia,***.628.956-66,PR,37,1790,327.77,restrito,Baixo,0,2,Investimento,ativo,WhatsApp
Claudia Rodrigues,***.473.296-81,PE,25,5840,1380.85,adimplente,Medio,229,1,Emprestimo pessoal,ativo,WhatsApp
Tatiane Freitas,***.985.865-73,MG,18,2370,502.26,restrito,Medio,0,4,Investimento,ativo,Telefone
Gabriel Santos,***.509.667-62,PA,26,1430,1369.77,adimplente,Medio,39,1,Cartao de debito,ativo,WhatsApp
Marcos Castro,***.724.218-55,MG,35,1280,237.62,adimplente,Medio,268,3,Seguro,ativo,App
Daniel Pereira,***.842.227-64,SC,26,8460,498.20,restrito,Medio,0,4,Emprestimo pessoal,ativo,Telefone
Leandro Barros,***.358.963-14,PA,46,7320,283.60,restrito,Medio,0,2,Financiamento,ativo,App
Marcio Nascimento,***.648.186-99,SP,22,2990,475.44,adimplente,Medio,43,3,Seguro,ativo,WhatsApp
Pedro Moreira,***.231.186-52,MG,53,3320,3000.00,adimplente,Baixo,96,2,Conta digital,inativo,WhatsApp
Camila Lima,***.429.665-54,PR,33,6630,276.14,adimplente,Baixo,42,3,Financiamento,inativo,WhatsApp
Patricia Oliveira,***.675.243-35,RN,55,12230,904.53,restrito,Baixo,0,1,Investimento,ativo,App
Antonio Gomes,***.734.255-34,SP,32,4040,484.03,adimplente,Medio,336,2,Investimento,ativo,WhatsApp
Leandro Freitas,***.203.510-33,MA,30,3210,644.55,adimplente,Alto,114,4,Cartao de debito,ativo,WhatsApp
Luiz Mendes,***.185.722-49,RS,46,1510,778.77,adimplente,Medio,102,3,Investimento,ativo,WhatsApp
Marcio Gomes,***.372.506-54,SP,35,1950,675.87,adimplente,Alto,219,4,Conta digital,ativo,WhatsApp
Tatiane Ferreira,***.815.243-53,DF,44,2710,649.96,adimplente,Medio,247,3,Seguro,ativo,App
Diego Teixeira,***.774.850-22,AP,43,1200,605.47,adimplente,Baixo,133,2,Emprestimo pessoal,ativo,App
Eduardo Rodrigues,***.683.995-64,SP,43,4730,761.42,adimplente,Medio,103,4,Cartao de debito,ativo,WhatsApp
Larissa Pinto,***.254.836-57,SP,20,8680,680.72,adimplente,Alto,57,2,Cartao de debito,ativo,App
Francisco Almeida,***.227.988-10,DF,49,3320,615.56,adimplente,Medio,18,1,Cartao de debito,ativo,WhatsApp
Juliana Santos,***.686.957-34,RS,19,3260,348.97,adimplente,Baixo,297,2,Emprestimo pessoal,inativo,WhatsApp
Amanda Lima,***.775.962-83,PI,42,4450,384.75,restrito,Baixo,0,4,Cartao de debito,ativo,WhatsApp
Caio Pereira,***.508.286-26,GO,45,5310,316.65,adimplente,Medio,358,4,Financiamento,inativo,App
Felipe Cardoso,***.220.100-52,DF,33,3600,616.73,restrito,Baixo,0,3,Seguro,ativo,Agencia
Daniel Rocha,***.750.234-37,SP,42,2780,268.63,adimplente,Alto,168,1,Investimento,ativo,WhatsApp
Sandra Monteiro,***.357.807-89,RS,48,4500,791.38,restrito,Baixo,0,2,Emprestimo pessoal,ativo,App
Pedro Oliveira,***.954.716-61,MG,75,6360,1334.84,adimplente,Alto,65,2,Emprestimo pessoal,ativo,WhatsApp
Mariana Moreira,***.864.914-94,CE,22,1620,775.91,restrito,Medio,0,4,Financiamento,ativo,Agencia
Felipe Ferreira,***.503.915-53,SP,36,3130,1145.42,adimplente,Alto,57,1,Investimento,ativo,Telefone
Felipe Lima,***.367.304-15,MT,67,1200,554.94,adimplente,Baixo,142,1,Cartao de credito,ativo,WhatsApp
Leticia Moreira,***.714.332-51,AL,36,1810,464.53,adimplente,Alto,137,3,Seguro,inativo,Agencia
Maria Pereira,***.665.358-28,SP,47,3470,202.62,adimplente,Medio,140,4,Cartao de debito,ativo,WhatsApp
Marcos Costa,***.184.101-68,ES,35,5130,348.67,adimplente,Alto,246,4,Seguro,ativo,WhatsApp
Juliana Rodrigues,***.737.348-45,SP,72,7790,1132.61,adimplente,Alto,75,1,Cartao de credito,ativo,App
Felipe Cardoso,***.632.486-34,SC,46,2660,329.89,adimplente,Medio,16,3,Seguro,ativo,WhatsApp
Otavio Moreira,***.422.464-12,MA,47,7550,525.32,adimplente,Medio,273,4,Financiamento,ativo,WhatsApp
Beatriz Lima,***.814.961-58,PE,46,2070,490.14,adimplente,Medio,216,1,Emprestimo pessoal,inativo,WhatsApp
Antonio Santos,***.427.877-35,GO,43,1710,901.64,restrito,Alto,0,3,Cartao de debito,ativo,WhatsApp
Juliana Dias,***.321.216-17,RJ,31,1200,1760.16,adimplente,Medio,8,4,Financiamento,ativo,WhatsApp
Maria Barros,***.546.238-68,SP,25,4570,334.32,adimplente,Medio,8,2,Cartao de debito,ativo,Agencia
Lucas Barros,***.588.786-57,CE,32,2490,1633.58,adimplente,Alto,307,2,Seguro,ativo,WhatsApp
Wesley Carvalho,***.485.129-60,MT,39,2150,351.25,adimplente,Alto,10,2,Financiamento,ativo,WhatsApp
Sergio Barbosa,***.802.143-85,SP,32,6820,887.99,restrito,Baixo,0,2,Cartao de credito,ativo,Telefone
Andre Oliveira,***.947.692-49,RN,38,7850,1019.16,adimplente,Medio,244,1,Conta digital,ativo,WhatsApp
Maria Almeida,***.267.951-50,MG,24,3720,341.01,adimplente,Alto,131,3,Cartao de credito,ativo,Agencia
Francisco Araujo,***.338.856-55,SP,36,1860,971.98,restrito,Medio,0,2,Cartao de credito,ativo,Telefone
Vinicius Correia,***.904.632-65,RJ,37,1800,690.26,adimplente,Alto,198,2,Seguro,ativo,WhatsApp
Juliana Silva,***.333.762-26,RJ,32,2630,655.55,restrito,Medio,0,3,Seguro,ativo,WhatsApp
Mariana Rodrigues,***.507.367-46,SP,40,3250,407.15,restrito,Baixo,0,3,Financiamento,ativo,WhatsApp
Paulo Monteiro,***.116.785-44,RJ,35,6840,921.64,adimplente,Alto,88,4,Financiamento,ativo,WhatsApp
Pedro Ribeiro,***.149.867-77,MA,31,3740,364.60,adimplente,Medio,165,1,Financiamento,ativo,WhatsApp
Sandra Martins,***.590.126-46,AL,66,4230,1100.42,adimplente,Medio,163,1,Emprestimo pessoal,inativo,WhatsApp
Amanda Oliveira,***.460.110-67,PR,37,1990,433.06,adimplente,Medio,44,1,Financiamento,ativo,App
Sergio Araujo,***.897.936-61,BA,47,2720,640.79,adimplente,Medio,127,3,Financiamento,inativo,WhatsApp
Otavio Lima,***.276.719-30,SP,41,5120,294.67,restrito,Medio,0,3,Emprestimo pessoal,ativo,App
Gustavo Carvalho,***.489.461-94,MG,36,6940,522.13,adimplente,Medio,92,2,Cartao de debito,ativo,WhatsApp
Maria Lima,***.879.498-54,AM,38,4150,381.80,adimplente,Alto,257,1,Investimento,ativo,App
Renata Castro,***.159.929-85,BA,72,2560,1524.94,adimplente,Medio,26,4,Cartao de credito,ativo,WhatsApp
Fabio Dias,***.825.398-69,RJ,25,1500,822.13,restrito,Baixo,0,2,Conta digital,ativo,WhatsApp
Juliana Cavalcanti,***.210.870-27,MG,51,2260,386.26,adimplente,Medio,145,4,Seguro,ativo,WhatsApp
Sandra Rocha,***.495.672-48,PI,65,6590,672.74,adimplente,Baixo,111,4,Financiamento,ativo,WhatsApp
Larissa Ferreira,***.633.871-45,PR,22,2470,614.59,restrito,Baixo,0,1,Cartao de debito,ativo,App
Thiago Carvalho,***.622.237-55,MG,33,3280,1374.12,adimplente,Alto,105,1,Cartao de credito,inativo,WhatsApp
Sabrina Pinto,***.579.966-38,SP,55,4570,206.56,adimplente,Alto,204,3,Conta digital,ativo,App
Aline Gomes,***.206.654-61,CE,23,1200,655.59,adimplente,Alto,228,1,Cartao de debito,inativo,Agencia
Carlos Barbosa,***.362.287-15,SP,28,4720,842.91,adimplente,Medio,193,1,Emprestimo pessoal,ativo,WhatsApp
Lucas Cardoso,***.498.307-95,MG,67,2940,468.08,adimplente,Alto,75,1,Cartao de debito,ativo,App
Thiago Oliveira,***.308.255-53,MG,19,4230,781.64,adimplente,Alto,235,3,Conta digital,inativo,WhatsApp
Daniel Pereira,***.935.732-89,PR,46,2380,508.76,adimplente,Alto,104,3,Cartao de credito,inativo,Telefone
Claudia Ribeiro,***.362.684-97,BA,34,3880,288.53,adimplente,Alto,106,1,Investimento,ativo,WhatsApp
Larissa Nascimento,***.635.964-98,MG,40,1540,744.96,restrito,Alto,0,4,Cartao de debito,ativo,App
Beatriz Monteiro,***.422.140-31,MG,19,3130,888.77,restrito,Medio,0,2,Conta digital,ativo,WhatsApp
Fabio Pereira,***.684.784-39,RS,63,6640,1127.12,adimplente,Medio,79,2,Conta digital,inativo,WhatsApp
Pedro Souza,***.482.647-82,SP,23,2660,306.63,adimplente,Alto,295,1,Seguro,inativo,Telefone
Fabio Ribeiro,***.657.310-75,SP,20,5100,572.88,restrito,Baixo,0,3,Conta digital,inativo,WhatsApp
Antonio Santos,***.605.709-83,MT,24,3870,1561.91,adimplente,Alto,264,1,Financiamento,ativo,WhatsApp
Bruna Ribeiro,***.446.452-94,SP,21,5970,547.31,adimplente,Alto,326,2,Cartao de debito,ativo,WhatsApp
Beatriz Cavalcanti,***.854.241-32,PA,49,5840,161.10,adimplente,Alto,107,3,Financiamento,ativo,WhatsApp
Jose Cavalcanti,***.756.649-16,SP,46,2560,747.65,restrito,Baixo,0,2,Cartao de credito,ativo,WhatsApp
Mariana Rodrigues,***.563.531-56,SP,21,2920,702.85,adimplente,Alto,340,2,Cartao de credito,inativo,WhatsApp
Tatiane Araujo,***.105.919-42,PE,43,2590,876.29,adimplente,Medio,194,3,Financiamento,ativo,WhatsApp
Beatriz Silva,***.517.895-82,GO,45,3240,665.62,adimplente,Alto,15,3,Cartao de debito,inativo,WhatsApp
Marcio Rocha,***.239.166-41,PB,42,1870,487.14,adimplente,Alto,209,2,Cartao de debito,ativo,WhatsApp
Ana Martins,***.889.577-51,BA,33,7520,381.39,adimplente,Alto,70,3,Seguro,ativo,WhatsApp
Adriana Lima,***.159.509-43,SP,36,5180,358.61,adimplente,Alto,86,1,Seguro,ativo,WhatsApp
Pedro Moreira,***.923.623-31,SP,30,3880,609.55,restrito,Baixo,0,3,Cartao de debito,ativo,App
Gustavo Moreira,***.854.456-53,PR,32,4750,1012.16,adimplente,Medio,287,3,Conta digital,inativo,WhatsApp
Amanda Mendes,***.504.632-49,RS,69,10680,558.43,restrito,Baixo,0,4,Conta digital,ativo,WhatsApp
Fabio Pinto,***.639.423-39,SP,29,2990,934.43,adimplente,Medio,131,1,Emprestimo pessoal,ativo,WhatsApp
Felipe Pinto,***.716.619-56,BA,27,3980,741.80,adimplente,Medio,346,1,Cartao de credito,ativo,WhatsApp
Andre Dias,***.144.807-12,RN,35,1220,1855.14,restrito,Baixo,0,2,Cartao de debito,ativo,Agencia
Marcos Ferreira,***.514.785-88,SP,62,5960,182.73,adimplente,Alto,300,2,Financiamento,ativo,WhatsApp
Tatiane Rocha,***.592.966-24,MG,24,5940,866.43,adimplente,Medio,331,2,Investimento,ativo,App
Marcio Rocha,***.826.745-88,SC,46,2470,572.78,adimplente,Medio,349,1,Investimento,ativo,Agencia
Felipe Nascimento,***.824.901-50,DF,40,10540,580.11,adimplente,Alto,346,2,Seguro,ativo,WhatsApp
Diego Barbosa,***.914.777-71,BA,44,1260,369.31,adimplente,Alto,235,1,Conta digital,ativo,WhatsApp
Renata Teixeira,***.903.570-69,RS,34,5080,993.43,restrito,Baixo,0,1,Emprestimo pessoal,ativo,App
Gabriel Pereira,***.316.364-37,BA,63,2280,624.15,adimplente,Alto,89,3,Investimento,inativo,Telefone
Maria Barbosa,***.994.315-89,SP,63,5640,805.77,adimplente,Medio,193,1,Cartao de debito,ativo,WhatsApp
Camila Araujo,***.287.840-25,MG,41,5850,342.46,adimplente,Medio,155,2,Financiamento,ativo,App
Gustavo Ferreira,***.447.224-18,DF,30,3910,550.18,adimplente,Alto,316,1,Investimento,ativo,WhatsApp
Camila Almeida,***.122.508-80,SP,35,1450,717.72,adimplente,Medio,286,3,Financiamento,ativo,WhatsApp
Paulo Correia,***.543.442-81,GO,31,1390,451.70,restrito,Medio,0,1,Seguro,ativo,App
Joao Monteiro,***.900.411-60,SP,31,9070,941.99,adimplente,Medio,236,2,Conta digital,ativo,Telefone
Marcio Cardoso,***.867.851-74,AC,30,5810,648.08,adimplente,Medio,329,2,Cartao de debito,ativo,WhatsApp
Claudia Moreira,***.786.900-55,DF,30,2740,300.31,adimplente,Alto,231,1,Financiamento,ativo,WhatsApp
Sergio Martins,***.459.224-77,PA,40,4130,528.44,adimplente,Medio,97,1,Conta digital,ativo,WhatsApp
Antonio Oliveira,***.296.397-22,CE,37,5020,602.96,adimplente,Alto,131,1,Cartao de debito,ativo,WhatsApp
Aline Lima,***.420.499-83,SP,36,4980,442.80,restrito,Medio,0,1,Investimento,inativo,App
Adriana Pereira,***.879.375-15,PE,28,3950,278.91,adimplente,Medio,239,1,Financiamento,ativo,WhatsApp
Caio Pereira,***.381.879-38,DF,45,4270,550.00,adimplente,Alto,217,2,Cartao de credito,ativo,WhatsApp
Andre Souza,***.323.444-83,BA,36,6300,490.71,adimplente,Medio,268,2,Investimento,ativo,App
Maria Cardoso,***.667.771-43,SP,72,4760,452.44,adimplente,Medio,176,1,Investimento,inativo,WhatsApp
Ana Rocha,***.684.164-72,SC,32,1740,894.45,adimplente,Baixo,60,1,Seguro,ativo,WhatsApp
Eduardo Costa,***.883.610-38,RJ,67,5200,545.39,adimplente,Alto,34,1,Investimento,ativo,Telefone
Sandra Pinto,***.341.272-73,AL,47,4260,291.54,adimplente,Baixo,362,3,Financiamento,ativo,App
Adriana Gomes,***.567.803-19,PE,27,3220,852.19,adimplente,Alto,201,1,Cartao de debito,ativo,WhatsApp
Jose Cardoso,***.317.286-49,SP,19,1200,732.00,adimplente,Medio,42,4,Emprestimo pessoal,ativo,WhatsApp
Igor Nascimento,***.581.485-53,PA,34,6520,712.23,adimplente,Alto,129,1,Cartao de credito,ativo,WhatsApp
Fernanda Monteiro,***.483.407-86,SP,33,3400,1252.42,restrito,Baixo,0,3,Seguro,ativo,WhatsApp
Gabriel Ferreira,***.529.365-81,AL,59,2330,616.45,adimplente,Alto,272,1,Conta digital,ativo,WhatsApp
Francisco Pereira,***.361.118-29,RS,72,5080,1138.86,adimplente,Alto,209,1,Seguro,ativo,Telefone
Gabriel Costa,***.264.472-18,RJ,20,4150,605.90,adimplente,Medio,64,3,Conta digital,inativo,Telefone
Sandra Ferreira,***.839.733-16,SP,50,2090,909.93,restrito,Baixo,0,1,Emprestimo pessoal,inativo,WhatsApp
Eduardo Correia,***.436.623-54,SP,48,4250,644.56,adimplente,Alto,351,1,Financiamento,ativo,WhatsApp
Vinicius Cardoso,***.631.670-83,SC,37,2160,655.76,adimplente,Medio,315,4,Emprestimo pessoal,ativo,App
Lucas Teixeira,***.310.344-51,RS,21,1200,250.75,adimplente,Baixo,201,3,Seguro,ativo,App
Igor Lima,***.554.623-83,PA,46,5290,310.68,adimplente,Alto,361,4,Financiamento,ativo,App
Claudia Oliveira,***.626.657-17,RJ,42,1870,1627.00,restrito,Medio,0,3,Conta digital,ativo,WhatsApp
Camila Araujo,***.111.749-37,SE,18,13040,971.32,restrito,Baixo,0,4,Emprestimo pessoal,ativo,WhatsApp
Roberto Pinto,***.740.228-35,PR,72,4000,522.87,adimplente,Alto,192,2,Financiamento,inativo,WhatsApp
Tatiane Costa,***.641.384-28,BA,49,3300,956.13,restrito,Baixo,0,2,Cartao de credito,ativo,WhatsApp
Roberto Cardoso,***.493.550-45,RJ,19,2940,419.68,adimplente,Alto,37,1,Conta digital,ativo,App
Roberto Mendes,***.762.940-99,SP,28,3690,1329.92,restrito,Medio,0,1,Emprestimo pessoal,ativo,Telefone
Sandra Silva,***.656.662-90,CE,38,5210,1012.18,adimplente,Medio,15,1,Seguro,inativo,WhatsApp
Gabriel Monteiro,***.861.184-69,DF,64,2040,595.98,restrito,Baixo,0,4,Financiamento,inativo,WhatsApp
Marcos Barbosa,***.714.482-28,BA,44,1200,220.93,adimplente,Medio,145,3,Cartao de debito,inativo,App
Ana Castro,***.825.114-15,SP,69,9520,1660.73,adimplente,Alto,322,2,Financiamento,ativo,WhatsApp
Igor Moreira,***.518.432-15,MT,39,6400,494.27,restrito,Baixo,0,3,Seguro,ativo,WhatsApp
Patricia Rodrigues,***.918.886-32,MG,34,2630,759.93,adimplente,Medio,217,2,Emprestimo pessoal,ativo,Telefone
Beatriz Mendes,***.379.963-41,SP,33,12920,447.35,restrito,Baixo,0,1,Cartao de credito,inativo,Agencia
Renata Rocha,***.841.829-64,PA,39,15360,1840.80,adimplente,Baixo,23,3,Financiamento,ativo,WhatsApp
Gustavo Moreira,***.995.638-92,MG,21,3780,1484.99,adimplente,Medio,318,2,Conta digital,ativo,WhatsApp
Marcio Dias,***.839.263-41,PE,45,1420,1325.61,restrito,Medio,0,1,Seguro,ativo,WhatsApp
Carlos Gomes,***.122.159-85,SP,46,5440,1064.49,adimplente,Alto,256,2,Conta digital,ativo,App
Claudia Silva,***.296.787-33,SC,39,11260,453.51,adimplente,Alto,126,3,Investimento,ativo,Telefone
Joao Martins,***.818.115-33,PR,64,2700,568.57,adimplente,Baixo,322,4,Conta digital,ativo,Telefone
Wesley Barros,***.242.843-99,SP,47,2860,963.28,adimplente,Medio,230,2,Seguro,ativo,App
Sandra Dias,***.630.203-57,RS,49,3560,426.63,adimplente,Medio,243,3,Cartao de debito,ativo,Telefone
Maria Nascimento,***.180.138-71,CE,68,2330,1487.57,adimplente,Medio,114,1,Cartao de credito,inativo,WhatsApp
Diego Rocha,***.167.360-29,SC,61,7200,757.86,adimplente,Alto,237,2,Investimento,ativo,WhatsApp
Tatiane Silva,***.209.928-10,BA,49,4320,460.13,adimplente,Alto,102,1,Conta digital,ativo,App
